发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
芒果馆-湖南国际会展中心,06月01日10:04,来自360安全浏览器, 【芒果馆播报】湖南卫视4集大型人物纪录片《杂交水稻之父袁隆平》#马栏山芒果馆#第四集《造福世界》,0,0,0,0
芒果馆-湖南国际会展中心,06月01日10:04,来自360安全浏览器, 【芒果馆播报】湖南卫视4集大型人物纪录片《杂交水稻之父袁隆平》#马栏山芒果馆#第三集《追梦人生》,0,0,0,0
清远文体旅游,06月01日10:00,来自微博weibo.com, #e起学#【e起学】习近平总书记为何要求向袁隆平学习？O【e起学】习近平总书记为何要求向袁隆平学习？​,0,0,0,0
青羊区市场局,06月01日09:59,来自360安全浏览器, 有一种食物叫米饭但你却对它充满误解！在中国，有65％以上的人都是以稻米为主食，大米在中国人的餐桌上有着压倒性的地位，我们的餐桌上永远少不了一碗香喷喷的白米饭。2019年10月，国务院新闻办发布的《中国的粮食安全》白皮书显示，到2017年，我国稻谷每公顷产量已达6916.9公斤，较1996年增长11.3%，比世界平均水平高50.1%。多出来的50.1%，帮这个曾为吃饱肚子愁了千年的东方古国，养活了数亿人。美国著名农业经济学家唐·帕尔伯格认为：杂交水稻是中国人战胜饥饿的重要方法。“袁隆平为中国争取到了宝贵的时间。”然而，在我们都开始吃饱之后，大米、米饭却开始陷入漩涡中。最近几年，关于米饭的说法层出不穷，比如说“大米没营养”“吃米饭会让人发胖”“吃米会导致糖尿病”……大米、米饭真的会有这些问题吗？今天我来跟大家聊聊关于米饭的三个误解。米饭没有营养，是垃圾食品之王？几年前，网上有一篇题为《白米饭垃圾食品之王》的文章竟将白米饭贬得一文不名，声称米饭几乎不含蛋白质、脂肪、维生素、矿物质，只有淀粉和糖，是典型的高糖、高热量、低蛋白的垃圾食品。这种说法毫无科学依据，完全是莫须有。首先，垃圾食品的说法就完全不科学。网络上流传的所谓“世界卫生组织（WHO）公布全球十大垃圾食品名单”并不属实，世界卫生组织自己已经辟谣，从未公布过最差食品或者垃圾食品名单。从营养学角度，食物本身并没有“垃圾”还是“健康”之分，没有垃圾的食品，只有垃圾的搭配。其次，从营养角度，白米饭已经是很好的主食了。大米不仅可以给我们提供丰富的碳水化合物，让我们有能量去做各种喜欢的事情。同时，它还有不少的蛋白质，它含有6%-7%的蛋白质，膳食指南推荐我们每天吃250-400克主食，就能获得15-28克的蛋白质。要知道，我们普通成人蛋白质的每日推荐摄入量是65克（男）、55克（女）。这就意味着，吃够米饭就能获得1/3到一半的蛋白质呢。而且在粮食当中，大米蛋白质的质量还算是相对比较好的，氨基酸平衡优于小米、玉米、高粱甚至小麦的蛋白质，含量又高于红薯的蛋白质（按干重比较时）。另外，现在世界各国的健康膳食宝塔或者金字塔里依然都有米饭的存在。如果米饭真的这么“垃圾”，为何还推荐它？所以，米饭算是比较好的主食选择了。要说质疑比较多的是，现在的米饭大多是精制的米饭，膳食纤维、矿物质等营养损失比较多。但是，这其实也可以通过整体的饮食来改善，比如多吃点蔬菜、豆类、坚果等。吃米饭会长胖？还有很多人说，米饭能量高，吃米饭会长胖。这种说法其实是甩锅的行为。长胖这件事儿，可不仅仅是某一种食物的锅。人会长胖的基本原理是能量收支失衡——能量摄入大于能量支出了，多余的能量就会在人体内储存。所以，我们人是否会长胖，跟吃什么的关系可真没有多大，关键是吃了多少。不管是米饭、馒头还是面条，哪怕是苹果、橘子、牛肉，哪个吃多了，都可能会变胖。吃米饭会得糖尿病？这是最近几年非常火的说法，甚至哈佛大学等很多研究都发现，吃米饭会增加糖尿病的风险。很多人甚至都不敢吃米饭了。其实，这种说法完全忽略了主要矛盾——没有吃对米饭。之所以会有这么多研究发现吃米饭会增加糖尿病风险，主要问题是因为我们吃的都是精制的白米饭。白米饭都是要经过精制加工的，在精制加工过程中，除了去掉不可食用的谷壳外，为追求细腻口感，还会进一步碾去谷皮，胚芽随之剥落，几乎只剩下胚乳，成为“精制”的白米，就会丢掉很多矿物质和膳食纤维。所以，并不是因为米饭会导致糖尿病，而是因为精制白米饭吃太多了。只要你吃对米饭，比如多吃糙米饭等全谷物食物，就根本不用担心会得糖尿病。《中国居民膳食指南（2016）》第一条就推荐“食物多样，谷类为主”，并明确建议谷类、薯类、杂豆类的食物品种数平均每天三种以上，每周五种以上，大约是每天应摄入50-150克全谷物。你吃够了吗？如何健康吃米饭？杂交水稻让我们每天都能吃到足够的米饭，吃得足够饱了，再也不用担心饿肚子了。但也不要吃饱了就瞎担心，甚至忘记那段食物匮乏的时光。当然，现在的米饭也有它的问题——精制程度高，损失了很多矿物质和膳食纤维，几乎只提供能量。从这个角度，我们其实也可以做一些改善，让我们吃的米饭更健康：1.少吃白米饭，煮饭换糙米、加粗粮杂豆米饭，尤其是现在的精白米饭，由于好消化、餐后血糖反应快，对血糖控制很不利。而富含膳食纤维的黑米、紫米、糙米等都是延缓消化速度的好选择。所以，如果有控制血糖的需求，平时煮饭不要总是用白米，不妨换点糙米、粗粮杂豆等。实在不行，煮白米饭时可以加点粗粮杂豆，比如在白米饭里加点绿豆、红豆、豌豆和莲子等，可以使米饭和米粥的饱腹感明显上升，消化速度减缓。2.米饭不要煮得太烂、太软很多人喜欢把米饭做得软点。蒸米饭前先把大米浸泡几个小时，再小火慢煮或者用压力锅蒸煮，让米饭更加软、烂。这样口感上是好吃多了，不过这种米饭的消化速度和餐后血糖反应也会明显上升。3.少吃加油加盐的米饭加油煮米饭不仅会增加米饭中的能量，还会降低饱腹感，容易多吃，对于控制体重很不利。而加盐会使米饭中的快速消化淀粉含量增加，消化速度加快。还有研究发现，吃含钠盐的食物会增加人体餐后血糖反应，原因可能是钠盐增强了消化酶的活性。因此，平时做米饭最好少加或不加盐，少做一些需要加油加盐的米饭，比如各种炒饭，特别是糖尿病人，更应少吃用这方法做出的米饭。外出就餐时，如果米饭是咸的（比如炒饭或者石锅拌饭等），则应该少吃一些。4.米饭最好当天吃完，减少反复加热平时做饭一次不要太多，因为米饭多次加热后，往往会变得更烂、更软，很容易消化，餐后的血糖反应也更高。如果条件允许，最好当天做的饭当天吃完；如果有剩饭，最好也要尽快吃完。文/阮光锋  ,0,0,0,0
惠州农业农村,06月01日09:58,来自360安全浏览器, #缅怀袁老#【中央农办农业农村部：深入开展向袁隆平同志学习】各省、自治区、直辖市及计划单列市党委农办、农业农村厅（局、委），新疆生产建设兵团党委农办、农业农村局，部各直属单位，各有关农业科研教学推广单位：日前，习近平总书记作出向袁隆平同志学习的重要指示，高度肯定袁隆平同志为我国粮食安全、农业科技创新、世界粮食发展作出的重大贡献，要求广大党员、干部和科技工作者要向袁隆平同志学习，强调学习他热爱党、热爱祖国、热爱人民，信念坚定、矢志不渝，勇于创新、朴实无华的高贵品质，学习他以祖国和人民需要为己任，以奉献祖国和人民为目标，一辈子躬耕田野，脚踏实地把科技论文写在祖国大地上的崇高风范。袁隆平同志是中国研究与发展杂交水稻的开创者和带头人，被誉为“杂交水稻之父”，是中国工程院院士和“共和国勋章”获得者。他于1964年开始研究杂交水稻，成功选育了世界上第一个实用高产杂交水稻品种，从1976年起在全国大面积推广应用。从1996年起组织开展超级杂交稻攻关，屡次刷新水稻种植的世界高产纪录，新育成的第三代杂交稻全年亩产达到1530.76公斤。目前，我国杂交水稻种植面积累计达到90亿亩，累计增产稻谷8000多亿公斤。他致力于杂交水稻走向世界，目前杂交水稻已在印度、美国、巴西等40多个国家广泛种植，种植面积达800万公顷。O中央农办农业农村部：深入开展向袁隆平同志学习  ,0,0,0,1
大姚融媒,06月01日09:51,来自新版微博weibo.com, 【他们，才是#中国人最该追的星#！致敬！】“憋着一肚子气”搞导弹研发的钱学森、“要求自己鞠躬尽瘁”的中国第一代核潜艇总师黄旭华、为杂交水稻奉献一生的袁隆平……他们在不同领域呕心沥血，无愧为国之脊梁！今天，全国科技工作者日。发条微博，#致敬科技工作者#！​​​,0,0,0,0
鹤壁淇县法院,06月01日09:49,来自新版微博weibo.com, //@豫法阳光:#向袁隆平同志学习#【#传承的决心如稻穗饱满#——怀念袁隆平】禾下乘凉梦，一梦逐一生。,0,0,0,0
民乐检察,06月01日09:48,来自微博视频号, 【用农业人的方式缅怀您#80后新农人在稻田栽出中国二字#】袁隆平院士逝世后，大家用不同的方式追思缅怀袁老。近日，陕西安康平利县广佛镇柳林子村村民黎霖，在自家面积3.09亩的稻田里栽出了“中国”二字，作为一名80后新农人，她说想用农业人自己的方式悼念袁老。L陕视新闻的微博视频​,0,0,5,3
洪江发布,06月01日09:48,来自微博weibo.com," #送别国之脊梁袁隆平#他不曾离去——-洪江市社会各界追忆袁隆平院士[水稻][水稻][水稻]68年前，一位怀揣梦想的青年来到安江；一粒种子从这里萌芽开始走向世界。68年后，一位一稻济世的老人离开我们；亿万苍生涕泪送别国之脊梁袁隆平。雪峰呜咽，沅水凝滞。5月22日13时07分，杂交水稻之父袁隆平院士不幸在长沙辞世。连日来，在袁隆平院士曾经工作生活过37年的洪江市，社会各界纷纷用不同的方式追忆袁老……在农业人的耕耘里“那天，他大清早就下试验田播种，衣服都没来得及换，赤着沾满泥巴的光脚走上课堂……”洪江市农业局总农艺师杨永曜永远记得这一幕。1995年6月，他受单位委派，前往长沙参加为期两周的培训，授课的老师便是袁隆平。“家里水稻产量怎么样，建设有哪些变化，农业发展好不好，你们的待遇怎么样……”得知杨永曜是来自洪江市，袁隆平高兴地拉起他问这问那。培训期间，袁隆平多次邀请杨永曜到家畅聊洪江市的发展，并嘱咐老伴邓则下厨招待，杨永曜现在回想仍是满满的感动。他表示，袁隆平的朴实和对洪江市的关心深深影响了自己。“我在黔阳安江（现洪江市）工作、生活了30多年，并与黔阳冰糖橙结下不解之缘……”2017年11月，80多岁的袁隆平院士赴央视为洪江市的黔阳冰糖橙代言推荐，深情地为第二故乡打call，让更多的人感受到它的甜。洪江市农业农村局局长杨贤德说，袁老对洪江这块土地爱的特别深沉，先后为托口杨梅、大崇金秋梨、黔阳黄桃等黔阳牌系列水果题词代言，不仅让这片神奇的土地出了名，也让这片土地上的老百姓实实在在受了益。“袁老的离去，是农业人的巨大损失，我们要化悲痛为力量，好好学习他的精神，履职尽责、一心为民，切实做好粮食生产和农业农村各项工作！”杨贤德表示。在奋斗者的坚守里“小胡，你好好干，我支持你……”回想起2015年的中秋，洪江市沙湾乡月亮村农家汉子胡双辉看着袁隆平院士的遗像涕泪涟涟。当时，创业屡屡受阻的胡双辉在当地政府的支持下，打算利用雪峰山独有的气候发展高山绿色水稻，准备向袁隆平院士求教。怀着忐忑的心情，他独自背着自产的十多斤绿色大米前往袁隆平院士家拜访。本想着只是碰碰运气，没承想不仅如愿见到了一直敬仰的偶像，袁隆平还很热情的招待了这位素不相识的“老乡”，并欣然为他生产的大米题词。受到鼓舞的胡双辉重拾信心，通过自己的努力成功申请注册了洪江市第一个优质大米商标，产业也开始逐步走上正轨。2018年，袁隆平院士为他牵线搭桥，帮他彻底解决了销售瓶颈期的问题。“有了袁老的鼓舞，我和儿子才有信心执着于水稻事业，以后还要让我的孙子继续种田，发展更多的优质大米，帮助袁老完成‘老百姓吃饱更要吃好’的夙愿。”回忆起与袁隆平院士第一次见面的情形，80后创业者屈禹甜记忆犹新。那是2017年，在袁隆平院士家里，正和一群来自安江的老朋友聊得正欢的袁隆平院士，还是注意到了坐在一旁默不作声的屈禹甜，并主动和她打起了招呼。在屈禹甜的记忆里，见到袁隆平院士的第一眼，觉着就是一位很普通的爷爷，与他畅聊四五十分钟之后，却发现这位爷爷不仅待人随和亲切，所拥有的智慧更是令人所敬佩。屈禹甜原是某公司重要岗位负责人，受到袁隆平院士多次为家乡宣传农产品的感召，毅然决然放弃了原高薪职位，开始了助推家乡生态水果品牌打造和销售的创业之路，带领当地群众增收。“袁爷爷曾跟我说洪江市老百姓的脱贫致富梦是他的第三个梦，这也成为了我梦想的开始，也将会是我一直努力的方向。我会努力像袁爷爷一样为家乡做出更多的贡献。”在老百姓的心坎里“爸，袁爷爷走了……”5月22日下午，家住洪江市安江镇大畲坪社区67岁的宋和平第一时间接到了远在江西的儿子打来的电话。回想起曾与袁隆平短暂共事的点滴和最近电视上看到的身影，宋和平并不愿相信这是个准确的消息。直到去理发店的途中，他再次接到了老伴的电话：“老宋啊，袁老走了，明天农校的追悼会，记得早点去……”这才把一直深深怀疑的宋和平拉回到了现实，泪水不争气地流了下来。1980年，对杂交水稻充满兴趣的宋和平得到了一次偶然的机会，作为全市唯一的一名农民代表参加了地区科技大会，随后便跟随袁隆平团队一起前往海南参与了为期两年的制种工作，从此便慢慢开始接触到袁隆平。水稻抽穗扬花期间的管理是杂交制种成败的关键时期之一。量温、观察、测肥……袁隆平每天在田里从早忙到天黑，风雨无阻，从不间断。一次中午12点，袁隆平顶着日头观测记录水稻扬花情况，由于蹲得太久，腿有点酸麻，不小心摔倒在田里，浑身湿淋淋的。看到这种情况，宋和平连忙劝他回家换衣服，他却连连摆手说，这是关键时期，不能落下，再坚持2个小时，否则试验又要重来，不划算啊！“制种来不得半点马虎，种田也一样。小宋啊，回去后一定要好好把技术教给村民，国家粮食保障真正靠的就是你们……”期间，袁隆平总是这样叮嘱宋和平。回忆往事，最令宋和平难以忘怀的是，1981年的秋天，正值秋收农耕最忙之际，袁隆平居然还记住了自己的结婚日期，委派他的团队参加了婚礼。“袁老这个人非常务实，做什么事情都不会来虚的，都是实打实的。打我儿子小时候开始,我就喜欢把自己和袁老打交道的事说给他听。今后还要说给孙子听，代代传下去……”宋和平满是激动。在师生们的拼搏里袁隆平逝世后，洪江市各中小学纷纷开展缅怀悼念活动。5月24日，在洪江市隆平学校操场上，全校2700余名师生唱响“感恩的心，感谢有你……”表达着对袁隆平院士的无限哀悼。“13点25分收到袁爷爷逝世的消息，第一反应就是不相信，当通过手机反复确认，消息真的证实时，很伤心，感觉就如同失去自己身边的亲人，空落落的。”14岁的初三学生易颖，本可以选择去到怀化就读，但从小深受袁老影响的她，在小升初的关键时刻，毅然选择了来到隆平学校。如今马上初中毕业的她坦然说道：“从未后悔过自己的选择，我将带着隆平精神继续努力！”2017年，洪江市委、市政府计划修建一所九年一贯制学校，向袁隆平院士汇报，希望以他名字命名。“这是培养后代的大事！”袁隆平欣然应允，并亲手题写校名。隆平学校的校徽主体图中包含着饱满的“稻穗”，彰显着学校对袁隆平院士的崇高敬意。学校每到秋季开学，都会向新生讲述袁隆平院士事迹，介绍校名的由来，鼓励学生学习隆平精神，争做隆平人。“袁老在研究杂交水稻时，面对重重困难，也不曾放弃，在取得成就时，即使是90岁高龄，仍坚持亲自下田，用心呵护稻苗，这种艰苦奋斗、淡泊名利、严谨治学的精神既让人感动，也值得所有人认真传承。”缅怀现场，该校教师杨爱玲眼里泛着泪花表示，作为隆平学校的一员，更要传承隆平精神，为社会培养更多的人才。一稻一生，福荫万民；音容宛在，功勋永存。是的，他从未离开过我们，在每一缕升起的炊烟里，在每一处飘香的稻田里，在每一颗绽放的谷粒里，在洪江的每一寸土地里！（李林邓晓芸）  ",0,0,0,2
凤凰卫视-中国深度财经,06月01日09:45,来自微博视频号, 袁隆平粮食安全守护者（一）不容错过的节目L凤凰卫视-中国深度财经的微博视频​,0,0,0,1
雁塔旅游,06月01日09:29,来自微博视频号, 【用农业人的方式缅怀您#80后新农人在稻田栽出中国二字#】袁隆平院士逝世后，大家用不同的方式追思缅怀袁老。近日，陕西安康平利县广佛镇柳林子村村民黎霖，在自家面积3.09亩的稻田里栽出了“中国”二字，作为一名80后新农人，她说想用农业人自己的方式悼念袁老。（平利台：李栎胡文志编辑：曹琼娜）L陕视新闻的微博视频L陕视新闻的微博视频  ,0,1,0,1
横峰检察,06月01日09:19,来自HUAWEIMate20, //@江西检察:#赣检播报# #检察新闻直通车#①更加自觉扛起检察责任为未成年人健康成长提供有力司法保护②#男子朋友圈侮辱袁隆平被立案调查#③被查处后，“三无”船舶继续大肆采砂④发挥司法案例引领价值提升知识产权检察保护品质O检察日报​​​,0,0,0,0
李沧检察,06月01日09:19,来自微博weibo.com, //@山东长安网:#苏州一男子侮辱袁隆平被采取刑事强制措施#依法严惩！,0,1,0,0
分州怀远,06月01日09:06,来自微博视频号, 【用农业人的方式缅怀您#80后新农人在稻田栽出中国二字#】袁隆平院士逝世后，大家用不同的方式追思缅怀袁老。近日，陕西安康平利县广佛镇柳林子村村民黎霖，在自家面积3.09亩的稻田里栽出了“中国”二字，作为一名80后新农人，她说想用农业人自己的方式悼念袁老。@陕视新闻http://t.cn/A6VCtU2R​,0,0,0,0
美丽陇川,06月01日08:20,来自HUAWEIP20, 【关注】曾经与袁隆平爷爷合影的云南孩子们长大了…#目瑙纵歌之乡陇川#5月22日13时07分中国工程院院士“共和国勋章”获得者袁隆平在湖南长沙逝世，享年91岁O网页链接​,0,0,0,0
光明发布,06月01日08:00,来自微博weibo.com, #早安，光明#科学研究要敢于探索，勇于创新（袁隆平）。早安，光明人​,0,0,0,1
缙云发布,06月01日15:57,来自微博weibo.com, #袁隆平曾为浙江丽水稻田亲笔题字#袁隆平稻田里的梦想我们来守护秉承袁隆平院士的希望，缙云将“禾下乘凉梦”的种子以“你”的名义播撒向高山梯田，稻浪飘香的时候，共同将大地最丰硕的馈赠献礼党的百年华诞，告慰稻田守望者至诚的梦想！石笕乡生态强村集体经济发展有限公司首期39亩“共享稻田”开启“领养”模式啦~认养成功后，高山生态米属于你！野生田鱼属于你！甚至“农民”也可能属于你！既助力村集体增收，又能体验传统农耕，还能get乡村旅游新玩法！心动就要马上行动哦！  ,0,0,0,3
湖南民生网,06月01日15:45,来自iPhone客户端, #小民最新播报#【#大叔受袁隆平影响建米升博物馆#：袁老曾有一句话让他感动不已】长沙市民杨杰喜爱米升，受袁隆平的影响与鼓励决定成立一个米升博物馆，如今馆藏已近2万。杨杰回忆，袁老来参观时见自己的雕像被摆在台上，称自己只是一个农民，需脚踏实地，将他雕像摆在红台上不好，这让他会下不得台。L一手Video的微博视频  ,0,0,1,1
清远供电,06月01日15:42,来自新版微博weibo.com, 【童心向党做新时代好少年】六·一国际儿童节来临之际，为了给粤北山区留守儿童带来欢乐，陪伴他们度过一个难忘的节日，5月31日，南方电网广东清远连州供电局的党（团）志愿者们来到了保安镇栋头小学开展“童心向党做新时代好少年”庆六一主题活动。志愿者和小朋友们一起观看《抗美援朝》短视频，唱响《我和我的祖国》，并在有奖问答环节中学习了袁隆平的故事以及一些通俗易懂的诗词成语，倡导小朋友们要珍惜粮食、好好学习、爱党爱国。@广东电网@南网50Hz  ,0,0,0,0
北京新闻广播,06月01日15:01,来自iPhone客户端, 转发微博,0,0,0,0
富民宣传,06月01日14:58,来自iPhone客户端, #富民新闻#【散旦镇组织学习袁隆平、吴孟超两位院士的先进事迹】5月22日，中国工程院院士、“共和国勋章”获得者袁隆平，中国肝胆外科之父、中科院院士吴孟超教授逝世。为了在干部职工中掀起学习两位院士先进事迹的热潮，5月24日上午，富民县散旦镇组织学习袁隆平、吴孟超先进事迹。​​​,0,0,0,0
绥棱检察,06月01日14:54,来自搜狗高速浏览器, 天津检察机关对侵害袁隆平院士名誉的行为开展公益诉讼立案调查“杂交水稻之父”、“共和国勋章”获得者、中国工程院院士袁隆平逝世。天津市静海区网民李某（男，38岁）在微信朋友圈发表侮辱性言论，造成恶劣社会影响。目前，公安机关已对其采取刑事强制措施。天津检察机关决定依法履行检察公益诉讼职责，对李某侵害袁隆平院士名誉、侵害社会公共利益的行为立案调查。  ,0,0,0,0
三亚广播电视台,06月01日14:50,来自360安全浏览器, #三亚头条新闻#【跨越两千公里的“六一”礼物！三亚为西安娃圆“水稻梦”→】5月31日，在西安，中航西飞保育院的孩子们第一次见到了新闻里说的水稻，也第一次知道袁爷爷在三亚培育杂交水稻的很多趣事。因为水稻，也因为袁隆平院士，这些西北的孩子们和三亚第一次结缘。“机场已经确认了能带秧苗。”随后，三亚传媒融媒体记者将这一消息告知西安的李老师，她非常开心。“这绝对是孩子们收到的最特殊的儿童节礼物！O跨越两千公里的“六一”礼物！三亚为西安娃圆“水稻梦”→  ,0,0,0,0
太原市文化和旅游局,06月01日14:42,来自微博视频号, 袁隆平的文艺情怀L太原市文化和旅游局的微博视频​,0,0,0,0
有料,06月01日14:24,来自微博视频号, 我国古代艰辛产粮之路丨古代一亩田能产多少粮你知道吗？#越冷越有料#@域鉴奇趣L域鉴奇趣的微博视频​,0,2,1,2
沈局吉林车务段,06月01日14:12,来自微博weibo.com, 【#重听袁隆平这句话泪流满面#】,0,0,0,0
黑龙江日报,06月01日14:07,来自微博weibo.com, 【超九成受访青少年会将袁隆平吴孟超等科学家作为人生偶像】5月22日，袁隆平院士与吴孟超院士先后辞世，无数国人在各种场合自发地表达悼念之情。而追悼人群的重要组成部分，正是年轻人。上周，中国青年报社社会调查中心的一项调查显示，了解到袁隆平等科学家的感人事迹后，81.4%的受访青少年表示非常受鼓舞，会因此立志当科学家。95.2%的受访青少年明确表示，会将袁隆平、吴孟超等著名科学家作为人生偶像。（中国青年报）  ,0,0,0,2
成都国际铁路港,06月01日14:04,来自微博weibo.com, #青白江发布#【区家庭教育协会举行庆祝建党100周年暨“享学吧”兰心读书会第127期书友线下共读书目《为什么是中国》活动】为庆祝建党100周年，区家庭教育协会于5月27日晚在在区妇女儿童中心享学吧—兰心读书会工作室举行兰心读书会第127期书友线下共读《为什么是中国》读书活动，参加本次活动书友30位。本次活动由区家庭教育协会发起人、教育硕士、国家三级心理咨询师魏庆凤老师导读，导读活动前，书友们共同聆听了袁隆平爷爷的《妈妈，稻子熟了》，以此缅怀袁隆平院士爷爷。  ,0,0,0,0
利川发布,06月01日13:38,来自iPhone客户端, 【超九成受访青少年会将袁隆平吴孟超等科学家作为人生偶像】5月22日，袁隆平院士与吴孟超院士先后辞世，无数国人在各种场合自发地表达悼念之情。而追悼人群的重要组成部分，正是年轻人。上周，中国青年报社社会调查中心的一项调查显示，了解到袁隆平等科学家的感人事迹后，81.4%的受访青少年表示非常受鼓舞，会因此立志当科学家。95.2%的受访青少年明确表示，会将袁隆平、吴孟超等著名科学家作为人生偶像。O95.2%受访青少年会将袁隆平吴孟超等科学家作为人生偶像  ,0,0,0,1
