发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
维多莉娅腿可爱,01月01日22:22,来自iPhone客户端, //@豆沙BBQ://@吴亦凡图片视频:#吴亦凡加盟湖南卫视跨年#210101海口出发,0,0,0,0
别喊老子,01月01日22:22,来自荣耀8美得与众不同, //@Galaxy_fanfan_吴敌风火抡:#O网页链接#《TESTING》彰显独特音乐风格，不凡态度尽显。2021也要和歌手吴亦凡一起加油～@Mr_凡先生,0,0,0,0
你好初珑,01月01日22:22,来自360安全浏览器, //@拉斯维加斯嘉丽:#O网页链接#感觉宝宝还困困的,0,1,0,0
周子舒是第一美女,01月01日22:22,来自小米Note3拍人更美, #O网页链接#新年快乐,0,0,0,0
你好初珑,01月01日22:22,来自360安全浏览器, //@拉斯维加斯嘉丽:#O网页链接#黑白配，清爽干净,0,1,0,0
熙语Qearl,01月01日22:22,来自iPhone客户端, #O网页链接#小脸蛋怎么这么可爱//@JKrisfanfanfanfan:#O网页链接# #吴亦凡湖南卫视跨年#🥺🥺🥺,0,0,0,0
东菇蘑菇只要是个菇,01月01日22:22,来自FF'siPhone7, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】210101海口出发@Mr_凡先生新年快乐哦~,0,0,0,0
woyaokaoyan62437432,01月01日22:22,来自iPhone客户端, #O网页链接#,0,0,0,0
春日-奶绿,01月01日22:22,来自日常打卡分享超话, 日常打卡分享📆2021.01.01新的一年，要继续一起冲冲冲#冒个泡# #我是表情帝# #带着边框一起拍#今天终于买到草莓🍓了，开心^_^喝了古茗的新品，一股酒酿的味道某人送的吴亦凡跨年夜而我在做作业和小朋友的合照，太喜欢他们了呜呜呜音乐总结又来了不出意料​​​  ,0,0,0,1
Kriswuhasdopemusic,01月01日22:23,来自小米6X拍人更美, #吳亦凡#喜欢I'mOutchaRemix👍,0,0,0,0
-摘星星的小熊,01月01日22:23,, 一年又一年//@猪猪攻击包:今年是整理合集的第三年了每年整理照片都会跟着回顾下宝宝一年的工作在感叹很忙的同时也真的很佩服他无论何时都会呈现出最好的状态给粉丝最好的回应真的好喜欢吴亦凡啊明年也多多见面吧,0,0,0,0
却山砚,01月01日22:23,来自Android, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】201231湖南卫视跨年@Mr_凡先生再回味一下昨天可爱的饭,0,0,0,0
总有一天骑士总冠军,01月01日22:23,来自荣耀Play4TPro, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】,0,0,0,0
捉住一只小妮_LY,01月01日22:23,来自华为手机, 啊啊啊好喜欢第一张//@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】201231湖南卫视跨年@Mr_凡先生再回味一下昨天可爱的饭,0,0,0,0
凡若安好_便是晴天Mrs,01月01日22:23,来自iPhone12Pro, 新年快乐//@吴亦凡Kris全球后援会:#O网页链接#新年快乐,0,0,0,0
Puppet素描着你轮廓,01月01日22:24,来自iPhone客户端, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】201231湖南卫视跨年@Mr_凡先生再回味一下昨天可爱的饭,0,0,0,0
Puppet素描着你轮廓,01月01日22:24,来自iPhone客户端, 哈哈哈哈//@JKrisfanfanfanfan:#O网页链接# #吴亦凡湖南卫视跨年#每年的嘴唇都不是因为擦口红变红的，是唱歌的时候和话筒磨得,0,0,0,0
猫头不是猫头鹰,01月01日22:24,来自iPhone客户端, //@吴亦凡吧-KrisBar:#O网页链接#一起品尝这馥郁飘香的《大碗宽面》，告别2020，以全新姿态迈向2021，愿开心，快乐永相随。@Mr_凡先生,0,0,0,0
Puppet素描着你轮廓,01月01日22:24,来自iPhone客户端, //@吴亦凡吧-KrisBar:#O网页链接#你拥有你的天地，没人能够把你定义!新年听了吴亦凡的《大碗宽面》都能开开心心、快乐每一天@Mr_凡先生,0,0,0,0
电影小分子,01月01日22:24,来自搜狗高速浏览器, 综艺#吴亦凡#凡凡随时随地的“嘻哈”L东门门吹牛的微博视频​,0,0,1,1
小狮子FanFan,01月01日22:24,来自iPhone客户端, #O网页链接#//@炼狱蜕变重生:哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,0,0,0
小狮子FanFan,01月01日22:24,来自iPhone客户端, #O网页链接#//@吴亦凡图片视频:#保时捷赛车手吴亦凡#210101潘玮柏ins更新相关,0,0,0,0
猫头不是猫头鹰,01月01日22:24,来自iPhone客户端, //@吴亦凡吧-KrisBar:#O网页链接#提起笔为即将过去的2020刻上贰叁划，一碗面让2020所有的努力和艰辛以快乐收尾。让我们跟随着吴亦凡@Mr_凡先生的歌声，告别2020，启航2021。,0,0,0,0
冰芬达泡泡冰,01月01日22:25,来自iPhone, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
只为你___F,01月01日22:25,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
只为你___F,01月01日22:25,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
吴亦凡今天二巡了吗,01月01日22:25,来自iPhone客户端, 好可//@肌肉初珑://@拉斯维加斯嘉丽:#O网页链接#黑白配，清爽干净,0,0,0,0
扬扬盼兮,01月01日22:25,来自小米8周年旗舰手机, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
煎蛋侠99,01月01日22:25,来自OPPOA11n, #为什么把吴亦凡的歌和芭蕾放一起# #吴亦凡的舞台电力十足#古典美和现代说唱的结合，既新颖又美感十足@Mr_凡先生,0,0,0,0
巫婆肉肉,01月01日22:25,来自iPhone客户端, #O网页链接# #吴亦凡#,0,0,0,0
只为你___F,01月01日22:25,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
只为你___F,01月01日22:25,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
吴亦凡今天二巡了吗,01月01日22:25,来自iPhone客户端, 宝宝//@肌肉初珑://@拉斯维加斯嘉丽:#O网页链接#感觉宝宝还困困的,0,0,0,0
童斑残5hpa,01月01日22:26,来自随享.iPhone, 终于等到凡凡子压轴的舞台表演啦！#吴亦凡怼脸拍#这个光感梦幻燃烧舞台实在太闪了！整个舞台酷炸极了！,0,0,0,0
森_诗妮6,01月01日22:26,来自三星android智能手机, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
睽王,01月01日22:26,来自小米6X拍人更美, //@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
要几颗花枝丸,01月01日22:26,来自麦芒8, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
乌鲁艾力达,01月01日22:26,来自HUAWEIP405G, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
Rui-Kw,01月01日22:26,来自iPhone客户端, #O网页链接#2021的第二天就要来啦！我也正式的踏上艺考之路！明天的第一站就是中传的初试！祝我好运吧！💛@Mr_凡先生​,0,0,17,14
Clairdelune月光,01月01日22:26,来自iPhone客户端, //@菠萝蜜的柚子:好家伙，得亏没坐在下面，不然得把吴亦凡带跑调了,0,0,0,0
安塔尔的小尾巴,01月01日22:26,来自iPhone客户端, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,1,0,0
凡凡凡only,01月01日22:26,来自nova4e3200W立体美颜, 吴亦凡,0,0,1,0
只为你___F,01月01日22:26,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
_笑靥如花,01月01日22:26,来自微博HTML5版, #吴亦凡#胖心肝的头也太大了点，退场的时候把我宝的脸全部挡住了严丝合缝wyf51KrisWu,0,0,0,0
不亦乐墨乎,01月01日22:26,来自iPhone客户端, 好想你吴亦凡，说话好温柔，只收信棒棒的//@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,1,0,0
只为你___F,01月01日22:27,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
我还安好LOVE,01月01日22:27,来自HUAWEIP40Pro+5G, //@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
南粤kw1106,01月01日22:27,来自荣耀9X, //@Dong曦子:以冰雪为梦，与冬奥同行。和吴亦凡一起祝福北京2022年冬奥会和冬残奥会顺利召开！​​​,0,0,0,0
南粤kw1106,01月01日22:27,来自荣耀9X, //@Dong曦子:点燃青春，创造不凡！为荣誉奋斗，为自己喝彩！和吴亦凡@Mr_凡先生一起为#北京2022#冬奥助力！,0,0,0,0
山药蛋的诗,01月01日22:27,来自微博weibo.com, 2021央视跨年演唱会吴亦凡演唱歌曲-音乐-高清完整正版视频在线观看-优酷L搞笑大篷车的优酷视频​,0,0,0,0
好想吃乌鱼饭,01月01日22:27,来自前置双摄vivoX9s, 新年第一飞🈶//@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
各归各位,01月01日22:27,来自iPhone客户端, #O网页链接#,0,0,0,0
希勒个兮,01月01日22:27,来自微博weibo.com, 马！！！//@JKrisfanfanfanfan:#O网页链接# #吴亦凡湖南卫视跨年#MK//@BABYCHERRY_吴亦凡资源博:这个版本最后能看见，广告起的时候小凡说“谢谢”,0,0,0,0
S000000X,01月01日22:27,来自iPhone客户端, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
来自银河系_koni,01月01日22:27,来自Android, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
S000000X,01月01日22:27,来自iPhone客户端, #O网页链接#好好休息,0,0,0,0
午饭要吃火锅,01月01日22:27,来自梅格妮的Android, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦大家真的“快回去吧~”,0,0,0,0
-o-_-o-,01月01日22:27,来自Android, 奶唧唧//@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】201231湖南卫视跨年@Mr_凡先生再回味一下昨天可爱的饭,0,0,0,0
wg-jessie,01月01日22:28,来自小米Note3拍人更美, 201231吴亦凡湖南卫视跨年演唱会高清,0,0,0,0
周爷Zzy,01月01日22:28,来自前置双摄vivoX9Plus, er周携2021的第一波皂骗来啦，啊哈哈~，新年希望我可以自律，可以拥有一直聪明粘人的小鸟🐤，哈哈。祝所有人都平安健康，永远happy~。~（附图老妈给俺拍的吴亦凡和宝藏男孩车银优）​,0,0,7,1
诙谐监考,01月01日22:28,来自小米Max3大屏大电量, 北京到达//@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
掉下一块小糖饼,01月01日22:28,来自Android, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个，你也快来表态吧~,0,0,0,0
笑嘛你再笑,01月01日22:28,来自iPhone客户端, 2021吴亦凡在哪我去哪2长沙·橘子洲风景区​,0,0,0,3
奶球饭饭,01月01日22:28,来自HUAWEIP405G, #O网页链接#//@吴亦凡吧-KrisBar:#O网页链接# #吴亦凡新年焰火花絮#浪漫波涛声声慢，璀璨焰火星河展，吴亦凡@Mr_凡先生湖南卫视跨年造型潮酷俊逸，精彩舞台令人回味。,0,0,0,0
-o-_-o-,01月01日22:28,来自Android, //@BABYCHERRY_吴亦凡资源博:#O网页链接#烈阳高涨你让梦想成真，破晓在即愿你永怀热望。在2021继续自由自在的去做理想实践家吧！新的一年继续陪你破风前行,0,0,0,0
只为你___F,01月01日22:28,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
Ninja_KW,01月01日22:28,来自iPhone客户端, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”,0,0,0,0
selenatie,01月01日22:28,来自HUAWEInova2Plus, #吴亦凡#,0,0,0,0
絯孓_ivhcgz,01月01日22:28,来自nova5Pro人像超级夜景, //@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
_XNehaKw,01月01日22:28,来自微博国际版, //@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
天神家的小甜豆,01月01日22:28,来自nova7你在焦点在, 新年快乐哦//@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
想喝蜜桃味的咖啡,01月01日22:28,来自iPhone客户端, 吴亦凡这样的帅哥人间天神哪里领！！！,0,0,0,0
饭饭的小奶球,01月01日22:28,来自iPhone客户端, //@吴亦凡图片视频:#吴亦凡新年焰火花絮#₂̆̈₀̆̈₂̆̈₀̆̈✨叮~🥂ᶜʰᵉᵉʳˢ,0,0,0,0
天神家的小甜豆,01月01日22:28,来自nova7你在焦点在, //@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
只为你___F,01月01日22:28,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
絯孓_ivhcgz,01月01日22:29,来自nova5Pro人像超级夜景, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【视频】210101北京到达@Mr_凡先生安全到达啦~大家也“快点回去”吧~,0,0,0,0
奶球饭饭,01月01日22:29,来自HUAWEIP405G, #O网页链接#//@吴亦凡吧-KrisBar:#O网页链接#用音乐表达自己，创造非凡奇迹！《TESTING》绝佳视听，感受独特凡式音乐，进入非凡梦幻世界，和全能音乐人@Mr_凡先生一起迎接崭新的2021，奔赴更辉煌的征程。,0,0,0,0
憋管卧,01月01日22:29,来自vivo全新水滴屏手机, 投票【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个，你也快来表态吧~,0,0,0,0
流萤点点点点点点点点,01月01日22:29,来自真我V5闪充奥利给, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
不爱你就会死1990,01月01日22:29,来自iPhone客户端, //@吴亦凡吧-KrisBar:#O网页链接#一起品尝这馥郁飘香的《大碗宽面》，告别2020，以全新姿态迈向2021，愿开心，快乐永相随。@Mr_凡先生,0,0,0,0
奶球饭饭,01月01日22:29,来自HUAWEIP405G, #O网页链接#//@Galaxy_fanfan_吴敌风火抡:#O网页链接#火焰闪耀花絮惊艳来袭，是酷炫狂拽的凡凡子没错了！祝大家在新的一年闪耀不凡之路！@Mr_凡先生#吴亦凡新年焰火花絮#,0,0,0,0
温饱工程将军娥,01月01日22:29,来自HUAWEIG9青春版, #O网页链接#我正在为吴亦凡打榜，吴亦凡现在排名第6，这个榜单福利超好，大家都在这儿打榜，快来加入我们吧！vx搜索小程序“爱豆星球”加入吴亦凡公会，一起打榜赢取福利！@爱豆星球​,0,0,0,0
希勒个兮,01月01日22:29,来自微博weibo.com, //@吴亦凡图片视频:#吴亦凡新年焰火花絮#₂̆̈₀̆̈₂̆̈₀̆̈✨叮~🥂ᶜʰᵉᵉʳˢ,0,1,0,0
奶球饭饭,01月01日22:29,来自HUAWEIP405G, #O网页链接#//@Galaxy_fanfan_吴敌风火抡:#O网页链接#跨年热度继续延续，吴亦凡亲自演绎火焰烟花秀，祝大家在新的一年红红火火！@Mr_凡先生#吴亦凡新年焰火花絮#,0,0,0,0
只为你___F,01月01日22:29,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
恰逢山有余,01月01日22:29,来自OPPO超视野全面屏R15, //@BABYCHERRY_吴亦凡资源博:#O网页链接#210101北京到达@Mr_凡先生新年第一圆满完成,0,0,0,0
巫婆肉肉,01月01日22:29,来自iPhone客户端, #O网页链接# #吴亦凡#,0,0,0,0
只为你___F,01月01日22:29,来自前后2000万OPPOR11, #O网页链接#,0,0,0,0
乌鲁艾力达,01月01日22:29,来自HUAWEIP405G, //@JKrisfanfanfanfan:#O网页链接# #吴亦凡湖南卫视跨年#MK彩排全程视频,0,0,0,0
奶球饭饭,01月01日22:29,来自HUAWEIP405G, #O网页链接#//@Galaxy_fanfan_吴敌风火抡:#O网页链接#wuli凡凡子送上新年的第一支冷焰烟花秀，随手一拍就是大片即视感！@Mr_凡先生#吴亦凡新年焰火花絮#,0,0,0,0
万重山,01月01日22:29,, 是我盲目自信看这个糊图抓拍总觉得自己的五官有点英气一丢丢神似吴亦凡（别骂我​,0,0,3,3
Mr_尘妹的小爷儿,01月01日22:29,来自vivoX23全息幻彩, 又一次一起跨年lucky不惧怕前程，努力拼搏。实现自我//@吴亦凡Kris全球后援会:#O网页链接#「你好2021」每个你新年快乐！！！,0,0,0,0
wg-jessie,01月01日22:29,来自小米Note3拍人更美, 201231吴亦凡湖南卫视跨年演唱会现场演唱outcha视频,0,0,0,0
