"
胖香
","


我哥在家的时候，我嫂子对他可凶了，可是我哥上班以后，我嫂子那一会一个信息，柔情似水……我问她天天这样不精分么？我嫂子一脸高深:“他上班的时候得好好赚钱，而且他心情好都是因为我，等拿工资的时候，第一个感谢的也是我，回家上交的也心甘情愿……”

"
"
金失&金华…
","


小时候上山抓蝎子，救回来一只受伤的小鹰，它已经奄奄一息了……
回到家偷偷把它养在后院闲置的柴房里，每天喂水喂食，还把它的伤口用碘酒消毒……
功夫不负有心人，它的伤慢慢的好了，就把它放走了……
后来这只鹰经常偷偷来我家，直到我爸把散养的鸡关到了鸡笼里……

"
"
-小门神~
","


我给退休的老领导买了防脱 洗发水！他的知遇之恩，我该当涌泉相报！
后来，我电话询问产品效果如何！他表示效果显著：以前大概2/3头发数。
现在…哎，孙子正捋着他剩下的头发，在算10以内的加减法……

"
"
夏有凉风秋望月
","


那一年，我和男友去很偏僻的山村支教。
那里没有水，没有电，我们被村长安排在当地的老乡家里住宿。看到我们两个是从外面来的，都是很惊奇，说着我们也听不懂的方言。
奔波一天的我们有点饥肠辘辘，看到不远处有一盆美食男友问他们: 我可以尝尝吗？朴实的村民笑着，说着我听不懂的方言，比划着。我以为他们是同意了，就拿起来喝了一碗，他们都更加惊奇的看着我！
估计看我们听不懂，只见一个头戴粉毛巾的美少妇，端着盆子，去不远处的猪圈。。。
于是我狠狠的
…

查看全文"
"
对方正在Lu
","


趁着夜半无人，大声的说件事，我是SB😜😜😜

"
"
净心居士
","


养家糊口的我和胖丫有小半年没见面了，最近工程不忙，请假回家看看胖丫。刚到家我就迫不及待的想和胖丫亲 热 亲 热。
胖丫抱着我说:老公你胖了？感觉重了十几斤，我这才发现我还背着书包[捂脸][捂脸][捂脸]

"
"
歌歌哒f
","


出摊的第二天，我还在昨天那里摆，可当我开张后来了一个满脸络腮胡子右臂上还纹着一个“忍”字的大哥对我说道：赶紧走，这是我的位置，
我小声的回道：这不是谁来的早就是谁的吗？再说我昨天就在这摆的啊，也没人来说……
大哥：那是因为我昨天没来，要么赶紧走要么我拆你摊子，
正当我左右为难时走过来一个女生，她和我就像《长江七号》里的周小迪和那个胖女孩一样，当然我是那个周小迪……
只见她对着那胡须男一顿臭骂，而胡须男只骂骂咧咧的说了声：好男不跟女斗，然后转身离开了……
见事已平，为表感谢我请了女孩吃了个饭还
…

查看全文"
"
我是谁∽谁是我
","


本人刚来公司时，有个老木工师傅，手艺没得说，就是口无遮拦不会说话，跟谁说话都冲。。。。
一次老板带着老板娘上工地，我在安装灯具，老板娘就说老师傅怎么门还没安装好？做装修的都知道的，灯装好就要交付客户的。
老师傅对老板娘说道：你个憨子妞，门是昨天晚上刚到的，难道让老子连夜过来装门吗？然后嘴里就是用方言喋喋不休骂了老板。
老板被骂急了说：爸！差不多嘚了吧，媳妇说你的，又不是我说你！
老师傅：狗   日的儿媳妇是你找的，不骂你骂谁？
老板：你到底骂谁是狗？？？
我清楚了老板和老师傅的关系后，华丽丽地从
…

查看全文"
"
无书斋主
","


等个朋友，停在路边有太阳，热得开着空调都顶不住，想想就停在一家小区的出口边上，那里的树荫很好，但确实会造成出来的车会慢点！！……
停了三十分钟左右，保安分三次要我离开，本来我是应该开走，但他们态度太恶劣，凶神恶煞的想打人，于是我火气一来，就是不开！……
别说了，第四次保安带了几个大妈过来，限我三秒发动开走……
特么，原本想刚到底的我，屁都不敢放一个，二话不说，走！！……
因为那几个大妈冲着我笑的样子太渗人了……！！

"
作者,内容
"
名剑977
","


姐姐辅导读一年级的外甥写作业，先是阅读和游戏环节，姐姐绘声绘色的朗读童话故事，小外甥在一旁听的非常开心。
可是这样和谐的情景没有持续太长时间，过了一会开始辅导书面作业了，小外甥反应很慢，我就听到姐姐咆哮的声音‘大哥，到底是多少啊?你倒是说句话啊’，咆哮声持续了很长一段时间，终于姐夫听不下去了，姐夫说‘你不要和他着急，慢慢说嘛’，于是姐夫接手辅导外甥作业的工作，过了一会儿我就听到姐夫的咆哮声和外甥的哭声。

"
"
搞笑视频在线
","


三年级时和同学打了-架，我叫来了六年级的哥哥，他把他初二的哥哥叫来了。我也把高一的表哥叫来了，结果他叫来了他上高三的哥!这时候我们以为必输无疑，好在那时表哥已经学会了田忌赛马这篇课文,最后由我对战同学高三的哥。

"
"
坏小孩cium
","


喝酒真酣，一哥们说自己当年如何威猛，激动处，还露出背上的很多疤痕给我们看，说是当年战绩，好多盆友都露出钦佩的眼神。。。
        我正啃着猪蹄儿，很疑惑的嘟哝了一句:往前冲伤痕应该在正面才对吧。。。
        不知怎么了，我话还没说完，那哥们酒也不喝扭头就走了​。。。

"
"
九头纪
","


上高中时候学校出钱盖了栋家属楼，老师们都很高兴，一天校长给老师们开会说：这家属楼优先考虑都在本校任职的教师夫妇，其次是已婚者，单身的排后！他这会一开不要紧学校里平时互相爱慕的，已经确定关系的，以前谈过又分开的老师都密集订婚结婚，好不热闹！

"
"
的。的。
","


玩这坨也已经很多年了，很少发帖，很少评论，喜欢糗百是因为一句“快乐你就不孤单”可是慢慢发现孤单真的很难快乐起来……

"
"
吃了两碗又盛
","


孬哥两口子减肥，每天清淡饮食，低摄入，一个月来效果特别明显:他儿子瘦了五斤。

"
"
夏有凉风秋望月
","


男票跟我说他前几天梦见我怀孕了，且快要生了…
我故意逗他：“那你想要儿子还是女儿呢？”
他若有所思的挠挠头一脸无奈的说：“生男生女无所谓了，只要是我的就行！
接着他又说：“  咱俩交往三年了，你手都不给我拉一下，你怀孕了孩子能是我的吗？”
我竟然脱口而出，你咋那么听话呢！让你不拉你就不拉啊！

"
"
金失&金华…
","


晚饭媳妇不想做，下了点速冻水饺，坐下刚想吃，我家泰迪就跑来蹲在我脚边，可怜巴巴的望着我，没办法，给了它一个，它叼着就跑了。
我刚吃完一个，它又回来了，又可怜巴巴望着我，没办法，又给了它一个。
后来又陆续给了它几个，饺子没了，我也没吃饱。
就在刚刚，我过去看它生的两只小泰迪，只见在垫子上，整整齐齐摆了七个水饺……

"
"
金失&金华…
","


小时候上山抓蝎子，救回来一只受伤的小鹰，它已经奄奄一息了……
回到家偷偷把它养在后院闲置的柴房里，每天喂水喂食，还把它的伤口用碘酒消毒……
功夫不负有心人，它的伤慢慢的好了，就把它放走了……
后来这只鹰经常偷偷来我家，直到我爸把散养的鸡关到了鸡笼里……

"
"
空城旧梦她与伞
","


结婚那天，我去接亲时，丈母娘哭得一把鼻涕一把泪，口里还念叨着：我的白菜啊，我辛辛苦苦养了二十多年的白菜啊，就这样被人连根端走了，哎呀啊……
我连忙表态：妈，您放心，两家也不远，只要您一个电话，我立马带她过来。
老丈人也安慰道：孩子大喜的日子，就别哭了，女婿刚刚也表态了，再说，舍不得白菜怎么能套住猪啊？
大喜的日子，你们怎么骂人啊？[捂脸][捂脸]

"
"
芭蕉窗下听雨声
","


我们这最近会连续阴雨，大清早就下楼买菜。
看到有卖野菜马齿苋的就全部包了。（共十七斤多）兴高采烈的打电话跟网友说：马齿苋可以治疗白头发，终于帮你寻到了……
可谁知他说：在我们山东马齿苋是喂猪的。
我开玩笑的说：你不就是猪吗？
可这货立马发个红包说：野菜我包了，你自己留着吧......
[捂脸][捂脸]

"
"
义行天下7
","


前年吧，我们村建教学楼！
承包给学校附近的包工头张哥了！
那天加夜班打混凝土，到了夜里12 点，张哥接了个电话，说他家里突然跳 闸了，没电了他要回 家看看怎么回事！
可我站在二楼不经意 间往他家瞄了一眼，灯明明亮着的啊，大约也就5 分钟左右吧，张哥估计到家就不亮了，估计他到家才跳 的 闸吧！！！
然后不到5 分 钟又亮了，没一会，张哥 回来 说修好了……

"
"
.婷婷～
","


老妈去外婆家，让我周末自己做饭吃。
趁老妈不在家，把冰箱的玉米排骨拿出来炖上，一边炖，一边玩手机，这时闻到一股糊味儿，打开锅一看，特么，炖玉米变成烤玉米了。舍不得倒掉，就吃了起来。
这时老妈发消息问我吃饭没有？我把碗里的饭拍给老妈看，心想老妈心一软说不定给我发个红包呢。
老妈一看，立马回复:婷婷啊，我走的时候给猪喂过了的，你不用再喂了啊！

"
"
天热打鼓球
","


晚上车停地下车库，大灯忘了关。于是第二天让保险派人过来搭个电。
师傅到后说要核对下保险单，我到车里去找。车里很暗，师傅说：你开灯啊！
我真的就去按车顶灯的开关！

"
"
义行天下7
","


楼主食堂管理员！
一日中午，快下班时，我欲与几个厨师讨论下午菜品，召集人齐，准备开会时，一股熟悉的刺鼻臭味，迎面扑来……
手掩口鼻问，下班换鞋子，谁没洗脚，几个都回有洗。
难道是肉没收冰柜里臭了，还是下水道又堵住了。几个人忙查看，寻找臭味源头，
当靠近厨工小李时，刺鼻，辣眼，上头，差点要了老夫小命，
卧槽，你不是说有洗脚吗，答曰，前几日洗脚用凉水冲，温水泡，热水烫，效果都不是很好，今天换无水干洗，感觉还行，只是所有气味都闻不到了，
小李，你是被熏傻了吧，鼻子不通气闻不到而已

"
"
正版煮茶
","


我朋友开书法培训班，一天一个女人带着一个小孩过来，说想把之前没上完的课上掉。
我朋友不让，说多久的事了，多少得加点钱。
我劝我朋友：这小孩才多大，差几个月的事别计较。
我朋友：是小孩的妈妈在零二年没上完的课...

"
"
忧郁的创可贴
","


这几天天气炎热。
老公一回来就抱怨: 搬砖一天太累了，有什么方法能快点暴富啊？
唠叨了好几次。
我实在听不下去: 老公啊，你想暴富其实最简单的办法就是你欧了以后想要什么我都烧给你。
老公。。。。。。

"
"
无书斋主
","


下午约一朋友谈事，因怕路上堵车，所以我提前到了一个小时，等他的时间，我找了个茶楼喝茶！…
坐下没多久，来了一个五十左右的大妈，她问我:你姓L？
我:是的！……我还以为是哪个熟人的母亲！！
她:你看起来比较年青啊！……
我笑笑:哪里，今年老的比较快！…
她坐下来叫了杯茶:我今年五十四，一个孩子已经结婚，介绍人说我们一年的，但看起来你比我年青很多，你若果不嫌弃我显老，我们可以约孩子们一起吃个饭！
我……特么，这大妈是来相亲的！

"
"
忧郁的创可贴
","


中午去食堂打饭
食堂大师傅问我:  你是怎么做到天天只吃肉却还很瘦的?
我:  以毒攻毒啊，吃肉到极致就瘦了，长得胖就是因为吃肉少了。
卧槽，话音没落就看到食堂胖妹向我走来，如果眼神能杀人的话，我可能就被她杀死在当场了。。。

"
"
再见单身狗
","


李姐的表哥来公司上班，她一直喊小雷哥，所以我们也跟着叫他小雷哥
观察了几天之后经理让他找我办一个上岗证
我：小雷哥，你姓什么？
小雷哥：都叫了几天小雷哥了，当然姓雷了

"
"
坏小孩cium
","


坏小孩cium：我拔牙了，不能写帖子了
禁言…：        为啥呀？
坏小孩cium：因为吹牛皮漏风[捂嘴]

"
"
吃了两碗又盛
","


儿子大了，越来越不好管，媳妇今天被气得歇斯底里了，对我一顿天马流星拳。
我说儿子犯错你打我干嘛？
媳妇说，归根结底，还不都怨你？

"
"
不饮孟婆茶
","


每天少吃一顿饭 ，时间一长就省下很大一笔钱，这笔钱就可以留着日后看胃病用

"
"
夏有凉风秋望月
","


在我们姐妹的见证下老爹迟到多年的土味求婚告白💍:“老婆，我爱你🤟[捂脸]”
看到老妈只顾着笑又娇羞的模样，老爸又说，你再不收下戒指💍 和花，我就不爱你了😂！
老妈:“那我爱你”一脚将老爹踹倒[捂脸]

"
"
出门太难
","


同事去外地出差，在行李箱里藏了一瓶五十二度的白酒。没想到过安检时被查了出来，好话都说完了，工作人员就是不让带上火车。
同事火了，打开瓶盖，一口气把一斤白酒全部闷进了肚子里，然后就醉了，在站台上等火车进站时，载歌载舞，一边跳一边脱衣服，谁都拉不住。。。​

"
